Agmt Id,Cust Age,Cust Gender,Cust Cibil Score,Cust Employment Type,Cust Net Salary,Coborrower Flag,App Score Risk,Agmt Date,Seizure Date,Sold Date,Tenure,Cust Net IRR,Sold Date Month,Sold Date Year,Seizure Date Month,Seizure Date Year,Cust Branch,Cust Region,Cust State,Pincode Tier,RC Availability,Registration Flag,Asset Disc Flag,Asset Alloy Flag,Asset Variant,Asset Model,Asset Fuel Type,Asset Cost At Disbursal,Loan Amount,LTV,OS Balance At Liquidation,Asset Age Months At Seizure,Months Spent In Yard,Asset Bodycondition,Asset Tyrecondition,Asset Generalcondition,Asset Enginecondition,Asset Accident Flag,Traiffic Challan Amount,Target Sold Amount At Liquidation,Asset_Health_Index,Recovery_Efficiency_Index,LGD,LGD_pct,Depreciation_Pct,Asset_Age_Group,Residual_Value_Forecast,Residual_Loss,Residual_Risk_Score,Risk_Band,Profitability_Score,Recommended_LTV,Recommended_Tenure,Expected_Profit,PD,Expected_Loss,Interest_Income
ASSET_11,22,F,-1,SAL,21000,N,HIGH RISK,2024-11-08,2025-11-30,2026-02-25,23,21.73,2,2026,11,2025,VIJAYAWADA,AP,AP,05 Urban,N,REG,0,0,SCOOTY ZEST,ZEST,Petrol,100000,83650,0.8365,53273.0,12.9,2.9,A,A,A,A,No,0,46500.0,70.0,87.28624256189815,6773.0,12.713757438101853,53.5,1-2 Years,40103.61446350783,59896.38553649217,59.89638553649217,Medium,37.520433329695265,75,48,31355.817073747294,0.08,3483.7108429193736,34839.527916666666
ASSET_12,52,F,-1,SEP,35000,N,LOW RISK,2024-05-24,2025-05-02,2025-06-28,36,25.78,6,2025,5,2025,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,1,0,NTORQ XT,NTORQ,Petrol,134000,111600,0.8328358208955224,109577.0,11.43333333333333,1.9,G,A,G,G,No,0,45000.0,94.0,41.06701223796965,64577.0,58.93298776203035,66.4179104477612,0-1 Year,47614.559431424,86385.440568576,64.46674669296716,High,52.52710637756914,65,36,74794.06069765633,0.18,11517.37930234368,86311.44
ASSET_13,28,M,727,SEP,150000,N,MEDIUM RISK,2025-09-30,2026-06-30,2026-07-24,23,24.43,7,2026,6,2026,HYDERABAD II,AP,AP,04 Metro,N,REG,0,1,TVS XL 100 HD ITS SPL EDITION,MOPEDS,Petrol,84000,74297,0.8844880952380952,62460.0,9.1,0.8,A,G,A,A,No,0,35000.0,76.0,56.03586295228946,27460.0,43.96413704771053,58.333333333333336,0-1 Year,38070.224810770225,45929.775189229775,54.67830379670211,Low,50.97690643827024,85,60,33702.14785265643,0.03,1086.8032556768933,34788.95110833333
ASSET_14,31,M,-1,AGR,40000,N,VERY HIGH RISK,2022-12-14,2025-10-28,2025-11-30,29,25.27,11,2025,10,2025,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,117000,94174,0.8049059829059829,34254.97,34.96666666666667,1.1,A,A,G,G,No,0,34000.0,88.0,99.2556700531339,254.97000000000116,0.7443299468661078,70.94017094017094,2-3 Years,38606.102131765074,78393.89786823493,67.0033315113119,Critical,49.337546580702174,50,24,38062.512762784434,0.35,19448.764253882222,57511.27701666666
ASSET_15,25,F,727,SAL,24000,N,MEDIUM RISK,2023-08-10,2025-03-05,2025-04-25,36,18.7,4,2025,3,2025,HYDERABAD I,AP,AP,02 Megapolis (B),N,REG,0,0,JUPITER 110 DRUM,JUPITER,Petrol,102000,86663,0.8496372549019607,54209.0,19.1,1.7,A,A,A,A,No,0,50000.0,70.0,92.23560663358484,4209.0,7.76439336641517,50.98039215686274,1-2 Years,44092.709999513994,57907.290000486006,56.771852941652945,Medium,26.17010064061803,75,48,45212.319799961115,0.08,3405.6232000388804,48617.94299999999
ASSET_16,22,F,777,SEP,25000,N,LOW RISK,2023-12-16,2025-07-19,2025-09-30,36,18.63,9,2025,7,2025,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,0,0,SCOOTY ZEST,ZEST,Petrol,100377,86720,0.8639429351345428,56509.0,19.36666666666667,2.433333333333333,A,A,A,A,No,0,43000.0,70.0,76.09407351041428,13509.0,23.90592648958573,57.16150114069956,1-2 Years,37252.64260489927,63124.35739510073,62.88727237823478,High,23.323515635566142,65,36,39563.68366888186,0.18,8904.12433111813,48467.80799999999
ASSET_17,23,F,-1,NREGI,30000,N,LOW RISK,2025-06-25,2026-01-14,2026-02-27,29,15.85,2,2026,1,2026,HYDERABAD I,AP,AP,04 Metro,N,REG,1,1,JUPITER 125 DRUM,JUPITER,Petrol,128000,102000,0.796875,99390.0,6.766666666666667,1.466666666666667,G,G,G,G,No,200,51000.0,100.0,51.31300935707818,48390.0,48.68699064292182,60.15625,0-1 Year,56820.89801157056,71179.10198842944,55.6086734284605,Low,14.752375875820666,85,60,37714.876940347116,0.03,1355.373059652883,39070.25
ASSET_18,24,M,715,SEP,30000,N,LOW RISK,2024-12-27,2025-08-11,2025-09-26,35,21.48,9,2025,8,2025,VIZAG,AP,AP,07 Rural,N,REG,0,0,APACHE RTR 160 2V DRUM BLACK EDITION,APACHE,Petrol,141000,126369,0.8962340425531915,130503.0,7.566666666666666,1.533333333333333,G,G,G,G,No,0,70000.0,100.0,53.63861367171637,60503.0,46.36138632828364,50.35460992907801,0-1 Year,70868.16817439074,70131.83182560926,49.73888781958104,Low,40.7187277824444,85,60,77505.15354523172,0.03,1665.0249547682777,79170.1785
ASSET_19,52,F,-1,AGR,35000,N,LOW RISK,2025-02-27,2026-05-31,2026-07-29,29,18.11,7,2026,5,2026,VIZAG,AP,AP,07 Rural,N,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,128945,105384,0.8172786847105356,68904.0,15.26666666666667,1.966666666666667,A,A,G,G,Yes,0,38000.0,88.0,55.14919308022756,30904.0,44.85080691977244,70.53007096048704,1-2 Years,42379.64422431496,86565.35577568505,67.13354978920087,Critical,19.378104515703708,50,24,24070.661278510237,0.35,22051.524521489762,46122.1858
ASSET_20,36,F,726,SEP,100000,N,LOW RISK,2022-12-22,2025-06-25,2025-07-24,29,21.06,7,2025,6,2025,HYDERABAD I,AP,AP,04 Metro,N,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,118000,99950,0.8470338983050848,63165.0,30.53333333333333,0.9666666666666668,G,G,G,G,No,0,31000.0,100.0,49.07781207947439,32165.0,50.92218792052561,73.72881355932203,2-3 Years,41833.96908600158,76166.03091399842,64.54748382542239,High,32.77943881265869,65,36,40408.66693548029,0.18,10460.885564519715,50869.5525
ASSET_21,37,F,-1,SAL,35000,N,LOW RISK,2025-08-31,2026-02-28,2026-03-28,36,24.7,3,2026,2,2026,VIJAYAWADA,AP,AP,04 Metro,N,REG,0,0,TVS XL 100 HD KS,MOPEDS,Petrol,73300,60244,0.8218826739427012,61234.0,6.033333333333333,0.9333333333333332,G,G,G,G,No,0,25000.0,100.0,40.82699154064735,36234.0,59.17300845935265,65.89358799454298,0-1 Year,36713.243891916565,36586.756108083435,49.9137191106186,Low,54.09462722333201,85,60,43934.8813167575,0.03,705.922683242503,44640.804000000004
ASSET_22,33,M,670,AGR,35800,N,HIGH RISK,2024-10-20,2025-06-13,2025-07-30,36,28.84,7,2025,6,2025,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,1,0,JUPITER 110 DRUM,JUPITER,Petrol,121313,101838,0.8394648553741149,108634.0,7.866666666666666,1.566666666666667,G,G,G,G,No,0,51000.0,100.0,46.94662812747391,57634.0,53.0533718725261,57.95998780015332,0-1 Year,52547.96168179787,68765.03831820213,56.68398136902238,Medium,68.55837272005039,75,48,84167.03453454383,0.08,3943.203065456171,88110.2376
ASSET_23,48,F,737,NREGI,45000,N,LOW RISK,2024-10-18,2025-10-14,2026-01-27,23,18.31,1,2026,10,2025,VIZAG,AP,AP,07 Rural,N,REG,1,0,JUPITER 110 DISC,JUPITER,Petrol,112000,101273,0.9042232142857144,72548.0,12.03333333333333,3.5,G,G,G,G,No,4140,55000.0,100.0,75.81187627501792,17548.0,24.18812372498208,50.89285714285714,1-2 Years,50450.665440923505,61549.334559076495,54.95476299917544,Low,25.300135029288175,85,60,34016.24537156104,0.03,1524.6700367722947,35540.915408333334
ASSET_24,22,M,714,SAL,38000,N,MEDIUM RISK,2024-05-14,2025-07-12,2025-08-31,29,28.15,8,2025,7,2025,HYDERABAD II,AP,AP,07 Rural,N,REG,1,0,NTORQ XT,NTORQ,Petrol,138900,105452,0.7591936645068394,81055.13,14.13333333333333,1.666666666666667,G,G,G,G,No,200,46500.0,100.0,57.368361509012445,34555.130000000005,42.631638490987555,66.52267818574515,1-2 Years,42350.187587898894,96549.8124121011,69.5103041123838,Critical,60.31931200653558,50,24,49652.482489097936,0.35,22085.634344235386,71738.11683333332
ASSET_25,31,F,-1,SEP,40000,N,LOW RISK,2023-12-18,2025-10-10,2025-11-29,36,29.26,11,2025,10,2025,TIRUPATHI,AP,AP,06 Semi-Urban,Y,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,116787,100618,0.8615513712998878,66901.0,22.06666666666667,1.666666666666667,G,G,G,G,No,0,47000.0,100.0,70.25306049236933,19901.0,29.74693950763068,59.75579473742797,1-2 Years,51159.105096958054,65627.89490304195,56.19452071124521,Medium,70.51701202529385,75,48,84365.76880775664,0.08,3956.711592243356,88322.4804
ASSET_26,58,M,-1,SEP,45000,N,MEDIUM RISK,2024-04-30,2025-08-22,2025-10-29,35,26.91,10,2025,8,2025,TIRUPATHI,AP,AP,06 Semi-Urban,N,REG,0,0,TVS XL 100 WINNER ITS,MOPEDS,Petrol,84185,77200,0.9170279741046504,62096.0,15.96666666666667,2.266666666666667,G,G,G,G,No,0,40500.0,100.0,65.22159237309971,21596.0,34.77840762690028,51.89166716160837,1-2 Years,38533.1080586753,45651.8919413247,54.22805956087747,Low,61.52313433875661,85,60,59432.34324176027,0.03,1160.006758239741,60592.350000000006
ASSET_27,41,M,735,SEP,36000,N,MEDIUM RISK,2025-02-28,2026-04-09,2026-05-30,23,27.22,5,2026,4,2026,HYDERABAD I,AP,AP,06 Semi-Urban,N,REG,0,0,TVS XL 100 WINNER ITS,MOPEDS,Petrol,85000,72431,0.8521294117647059,51287.0,13.5,1.7,P,A,P,P,No,0,40000.0,38.0,77.99247372628541,11287.0,22.007526273714586,52.94117647058824,1-2 Years,27288.171125312605,57711.828874687395,67.89626926433812,Critical,57.10912760710299,50,24,21988.46977719275,0.35,15799.990106140587,37788.45988333334
ASSET_28,27,F,-1,SAL,18000,N,ULTRA LOW RISK,2024-05-25,2025-03-12,2025-04-24,36,25.43,4,2025,3,2025,HYDERABAD I,AP,AP,02 Megapolis (B),N,REG,1,0,JUPITER 110 DISC,JUPITER,Petrol,120000,100809,0.840075,95539.0,9.7,1.433333333333333,G,G,G,G,No,0,59000.0,100.0,61.75488543945404,36539.0,38.24511456054596,50.83333333333333,0-1 Year,54742.99519423317,65257.00480576683,54.38083733813903,Low,55.27783228498111,85,60,75525.205955827,0.03,1381.9801441730049,76907.1861
ASSET_29,20,F,-1,SAL,28000,Y,MEDIUM RISK,2025-02-28,2025-09-18,2025-11-30,23,23.21,11,2025,9,2025,KARIMNAGAR,AP,AP,06 Semi-Urban,N,REG,1,0,NTORQ XT,NTORQ,Petrol,139864,121500,0.8687010238517416,114878.0,6.733333333333333,2.433333333333333,G,G,G,G,No,0,48000.0,100.0,41.78345723289055,66878.0,58.21654276710946,65.68094720585712,0-1 Year,51053.21212768683,88810.78787231317,63.497960784986255,High,42.197660941944214,65,36,41369.86568298363,0.18,12680.421817016371,54050.287500000006
ASSET_30,35,F,-1,SEP,30000,N,LOW RISK,2025-01-15,2025-07-23,2025-08-31,23,23.31,8,2025,7,2025,HYDERABAD I,AP,AP,06 Semi-Urban,N,REG,0,0,TVS XL 100 WINNER ITS,MOPEDS,Petrol,85000,63158,0.743035294117647,61548.25,6.3,1.3,G,G,G,G,No,0,45000.0,100.0,73.11337040452003,16548.25,26.88662959547997,47.05882352941176,0-1 Year,41978.42066055981,43021.57933944019,50.61362275228258,Low,47.996709528275694,85,60,27582.028069816795,0.03,635.3873801832058,28217.41545
ASSET_31,32,M,-1,AGR,85000,N,HIGH RISK,2025-05-10,2025-12-17,2026-01-31,23,22.53,1,2026,12,2025,TIRUPATHI,AP,AP,06 Semi-Urban,N,UN-REG,1,0,JUPITER 125 DISC,JUPITER,Petrol,125110,101500,0.8112860682599312,95464.0,7.366666666666666,1.5,A,G,A,G,No,0,53500.0,86.5,56.04206821419593,41964.0,43.95793178580407,57.23763088482136,0-1 Year,53804.42601165752,71305.57398834248,56.99430420297536,Medium,42.07388767489249,75,48,40014.591580932596,0.08,3815.6459190673986,43830.237499999996
ASSET_32,23,F,-1,AGR,39500,N,VERY HIGH RISK,2024-01-27,2025-06-19,2025-07-26,29,25.71,7,2025,6,2025,KARIMNAGAR,AP,AP,07 Rural,N,REG,1,0,NTORQ RACE XP,NTORQ,Petrol,125000,113103,0.904824,84575.0,16.96666666666667,1.233333333333333,G,G,A,G,No,0,30000.0,92.5,35.47147502216967,54575.0,64.52852497783033,76.0,1-2 Years,38664.7006011622,86335.2993988378,69.06823951907025,Critical,50.312840605139456,50,24,44220.31668540677,0.35,26053.404789593227,70273.721475
ASSET_33,37,F,-1,SAL,39869,N,VERY HIGH RISK,2023-11-07,2025-05-16,2025-06-24,29,28.5,6,2025,5,2025,VIJAYAWADA,AP,AP,07 Rural,N,REG,0,0,JUPITER 110 DRUM,JUPITER,Petrol,106890,103718,0.9703246328000747,66443.0,18.53333333333333,1.3,G,G,G,G,No,0,44000.0,100.0,66.22217539846183,22443.0,33.77782460153816,58.83618673402563,1-2 Years,46088.80774515077,60801.19225484923,56.88202100743683,Medium,67.0555854334282,75,48,66825.43711961206,0.08,4610.335380387938,71435.7725
ASSET_34,35,M,-1,SAL,32700,N,MEDIUM RISK,2023-12-16,2025-06-29,2025-07-23,23,26.87,7,2025,6,2025,VIJAYAWADA,AP,AP,06 Semi-Urban,N,REG,0,0,TVS XL 100 WINNER ITS,MOPEDS,Petrol,84347,67367,0.7986887500444592,34832.01,18.7,0.8,G,G,G,G,No,0,30000.0,100.0,86.1276739412971,4832.010000000002,13.872326058702903,64.43264135061116,1-2 Years,37030.9780541326,47316.0219458674,56.09686408036729,Medium,60.57552649382947,75,48,32267.684635997284,0.08,2426.8817556693916,34694.566391666674
ASSET_35,23,M,721,SEP,60000,Y,ULTRA LOW RISK,2025-06-05,2026-02-04,2026-03-31,42,22.85,3,2026,2,2026,TIRUPATHI,AP,AP,06 Semi-Urban,N,REG,0,0,RONIN MID,RONIN,Petrol,213840,163000,0.7622521511410401,163727.0,8.133333333333333,1.833333333333333,G,G,G,G,No,0,82000.0,100.0,50.08337048867932,81727.0,49.91662951132068,61.65357276468387,0-1 Year,89768.2970158628,124071.7029841372,58.02081134686551,Medium,42.98168685443831,75,48,124500.71376126903,0.08,5858.536238730976,130359.25
ASSET_36,49,M,-1,AGR,30000,N,LOW RISK,2024-03-26,2025-06-25,2025-07-31,29,30.79,7,2025,6,2025,TIRUPATHI,AP,AP,06 Semi-Urban,N,REG,0,0,TVS XL 100 HD ITS,MOPEDS,Petrol,79000,68150,0.8626582278481013,56833.01,15.2,1.2,G,G,G,G,No,0,42000.0,100.0,73.90071368734473,14833.010000000002,26.099286312655273,46.83544303797469,1-2 Years,35316.673792893904,43683.326207106096,55.29534962924822,Low,77.28289311674574,85,60,49724.84729712014,0.03,984.9997862131828,50709.84708333333
ASSET_37,39,F,-1,SAL,25000,N,ULTRA LOW RISK,2024-05-10,2025-09-17,2025-11-22,23,25.66,11,2025,9,2025,HYDERABAD I,AP,AP,02 Megapolis (B),N,REG,1,0,NTORQ RACE EDITION DISC,NTORQ,Petrol,125500,104500,0.8326693227091634,53850.0,16.5,2.2,A,A,A,A,No,0,36000.0,70.0,66.85236768802228,17850.0,33.147632311977716,71.31474103585657,1-2 Years,39276.09279801963,86223.90720198037,68.7043085274744,Critical,50.25600888662533,50,24,28566.474145973538,0.35,22828.36752069313,51394.84166666667
ASSET_38,21,M,-1,SEP,35000,N,HIGH RISK,2023-10-18,2025-05-16,2025-06-19,36,25.96,6,2025,5,2025,HYDERABAD II,AP,AP,05 Urban,N,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,118000,97240,0.8240677966101695,71053.0,19.2,1.133333333333333,A,A,A,A,No,0,51000.0,70.0,71.77740559863763,20053.0,28.22259440136236,56.77966101694915,1-2 Years,48942.51095161106,69057.48904838893,58.523295803719435,Medium,55.76130075016721,75,48,71866.71287612889,0.08,3863.799123871115,75730.512
ASSET_39,39,M,-1,AGR,35000,N,MEDIUM RISK,2024-12-19,2025-07-31,2025-10-25,17,18.85,10,2025,7,2025,VIJAYAWADA,AP,AP,05 Urban,N,REG,0,0,TVS XL 100 WINNER ITS,MOPEDS,Petrol,84347,71218,0.844345382764058,52675.0,7.466666666666667,2.866666666666667,A,A,G,A,No,0,40000.0,77.5,75.93735168485999,12675.0,24.06264831514001,52.576855134148225,0-1 Year,42736.07819782449,41610.92180217551,49.33301931565498,Low,29.903568551021664,85,60,18163.7157626014,0.03,854.4576540652652,19018.17341666667
ASSET_40,28,F,757,SEP,50000,N,MEDIUM RISK,2025-02-15,2026-03-12,2026-04-27,36,15.82,4,2026,3,2026,HYDERABAD II,AP,AP,07 Rural,N,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,128000,102816,0.80325,79471.0,13.0,1.533333333333333,G,A,A,G,No,0,51000.0,86.5,64.17435290860817,28471.0,35.82564709139183,60.15625,1-2 Years,55332.45942094984,72667.54057905017,56.77151607738294,Medium,14.1413927972412,75,48,44997.790353675984,0.08,3798.683246324013,48796.4736
ASSET_41,56,M,759,SEP,30000,N,LOW RISK,2024-06-27,2025-11-18,2025-12-24,23,20.47,12,2025,11,2025,VIJAYAWADA,AP,AP,06 Semi-Urban,N,REG,1,1,JUPITER 125 DISC,JUPITER,Petrol,120900,96789,0.8005707196029777,50995.4,16.96666666666667,1.2,G,G,G,G,No,0,60000.0,100.0,117.65767108405856,-9004.599999999999,-17.65767108405856,50.37220843672456,1-2 Years,52880.77250678363,68019.22749321637,56.260734072139265,Medium,33.77630864902412,75,48,34461.69937554268,0.08,3512.65819945731,37974.357574999995
ASSET_42,30,M,758,SAL,30000,N,ULTRA LOW RISK,2025-11-04,2026-04-20,2026-05-22,36,20.41,5,2026,4,2026,HYDERABAD II,AP,AP,04 Metro,N,REG,0,0,RONIN BASE,RONIN,Petrol,194000,161724,0.8336288659793815,160870.0,5.566666666666666,1.066666666666667,G,G,G,G,No,0,132000.0,100.0,82.05383228693977,28870.0,17.946167713060234,31.958762886597935,0-1 Year,87594.03029193147,106405.96970806851,54.84843799384975,Low,34.11557901347304,85,60,96799.70610875793,0.03,2223.899091242056,99023.60519999999
ASSET_43,33,M,-1,NREGI,45000,N,HIGH RISK,2023-05-31,2025-08-20,2025-09-25,17,26.07,9,2025,8,2025,KARIMNAGAR,AP,AP,05 Urban,N,REG,0,0,RADEON DRUM,RADEON,Petrol,92500,78332,0.8468324324324324,73690.0,27.06666666666667,1.2,A,A,A,A,No,0,30000.0,70.0,40.71108698602253,43690.0,59.28891301397747,67.56756756756756,2-3 Years,29993.863387262296,62506.136612737704,67.57420174350021,Critical,52.44045896847499,50,24,12011.618085541802,0.35,16918.347814458197,28929.9659
ASSET_44,33,M,-1,AGR,40000,N,HIGH RISK,2024-03-09,2025-08-31,2025-09-29,29,26.71,9,2025,8,2025,TIRUPATHI,AP,AP,07 Rural,N,REG,1,0,TVS RAIDER DISC,RAIDER,Petrol,126900,121905,0.9606382978723405,81752.0,18.0,0.9666666666666668,G,G,G,G,No,0,48000.0,100.0,58.71415989822879,33752.0,41.28584010177121,62.17494089834515,1-2 Years,47426.06545652058,79473.93454347942,62.627213982253295,High,57.17973664818776,65,36,65282.453407173714,0.18,13406.208217826295,78688.66162500001
ASSET_45,36,M,759,SAL,50000,N,ULTRA LOW RISK,2023-11-23,2025-09-29,2025-10-28,17,19.02,10,2025,9,2025,HYDERABAD I,AP,AP,02 Megapolis (B),N,REG,0,0,TVS IQUBE 3.5KWH,TVS,EV,149000,127334,0.8545906040268456,40465.0,22.53333333333333,0.9666666666666668,G,G,A,G,No,0,60000.0,92.5,148.27628815025332,-19535.0,-48.27628815025331,59.73154362416108,1-2 Years,55695.21806724818,93304.78193275182,62.62065901526967,High,25.063778172777475,65,36,21415.16555210467,0.18,12894.980747895328,34310.1463
ASSET_46,24,M,736,SAL,30000,N,ULTRA LOW RISK,2023-12-21,2025-10-30,2025-12-24,29,20.28,12,2025,10,2025,VIZAG,AP,AP,04 Metro,N,REG,0,1,JUPITER 125 DRUM,JUPITER,Petrol,114292,92269,0.8073093479858607,40930.0,22.63333333333333,1.833333333333333,A,A,A,A,Yes,0,46000.0,70.0,112.38700219887616,-5070.0,-12.38700219887613,59.75221362825045,1-2 Years,40726.86886015735,73565.13113984265,64.36594962013321,High,29.597446758534858,65,36,35943.45329482833,0.18,9277.583605171676,45221.03690000001
